Word	Ipa	occ.1	occ.2	occ.3	occ.4	occ.5	occ.6
tsarine	ts;a;ʁ;i;n	13	15	32	50	57	78
j'en chie	ʒ;ɑ̃;ʃ;i	1	18	28	49	54	72
sérieux	s;e;ʁ;j;ø	2	23	31	38	51	69
cache cache	k;a;ʃ;k;a;ʃ	3	14	26	41	58	67
hier	i;j;ɛ;ʁ	4	21	30	43	63	76
divan	d;i;v;ɑ̃	5	20	29	45	52	68
pour gabriel	p;u;ʁ;ɡ;a;b;ʁ;i;j;ɛ;l	6	22	33	48	60	75
louche	l;u;ʃ	7	17	27	40	62	65
tulle	t;y;l	9	16	34	44	53	77
juxtaposer	j;u;ks;t;a;p;o;z;e	10	36	46	61	70	73
pas ceux	p;a;s;ø	11	19	25	39	56	74
garage	ɡ;a;ʁ;a;ʒ	12	35	47	55	66	71
distractor	N/A	8	24	37	42	59	64
